Interprete;Codigo;Nome;Trecho;Idioma
Carnaval;3785;CACHAÇA;Você pensa que cachaça é água;BRA
Carnaval;3787;CORAÇÃO DE JACARÉ;Trocaram o coração da minha sogra;BRA
Carnaval;3800;JARDINEIRA;Ó jardineira por que estás tão triste?;BRA
Carnaval;3802;MAMÃE EU QUERO;Mamãe eu quero, mamãe eu quero;BRA
Carnaval;3805;ME DÁ UM DINHEIRO AÍ;"Ei, você aí me dá um dinheiro aí
";BRA
Carnaval;3810;QUEM SABE, SABE;Quem sabe, sabe conhece bem;BRA
Carnaval;3812;SACA ROLHA;As águas vão rolar;BRA
Carnaval;3813;SASSARICANDO;Sa-sassaricando!;BRA
Carnaval;3817;TAÍ;Taí... Eu fiz tudo pra você gostar de mim;BRA
Carole King;4730;IT'S TOO LATE;Stayed in bed all mornin' just to pass;EUA
Carol Song;4528;JINGLE BELLS;"Dashing thru' the snow
";EUA
Carol Song;4604;SILENT NIGHT;Silent Night Holy Night;EUA
Carol Song;4651;SILVER BELLS;City side walks busy side walks;EUA
Carol Song;4664;WHITE CHRISTMAS;"I'm dreaming of a White Christmas
";EUA
Carpenters;4728;IT'S GONNA TAKE SOME TIME;It's gonna take some time this time;EUA
Carpenters;4752;ONLY YESTERDAY;After long enough of being alone;EUA
Carpenters;4756;PLEASE MR. POSTMAN;Oh yes wait a minute Mister Postman;EUA
Carpenters;4606;SUPERSTAR;Long ago and oh so far away;EUA
Carpenters;4612;TOP OF THE WORLD;Such a feelin's comin' over me;EUA
Carpenters;4615;YESTERDAY ONCE MORE;When I was young I'd listen to the;EUA
Carrapicho;3565;FESTA DE UM POVO;Ôh ôh ôh... lê lê lê... Boi garantido chegou;BRA
Cartola;3018;AS ROSAS NÃO FALAM;Bate outra vez com esperanças;BRA
Cascades (The);4649;RHYTHM OF THE RAIN;Listen to the rhythm of the falling rain;EUA
Cascatinha e Inhana;3365;ÍNDIA;Índia seus cabelos nos ombros caindo;BRA
Cássia Eller;3661;E.C.T.;Tava com cara que carimba postais;BRA
Cássia Eller;3623;MALANDRAGEM;Quem sabe eu ainda sou uma garotinha;BRA
Cássia Eller;6429;O MEU MUNDO FICARIA COMPLETO (COM VOCÊ);Não é porque eu sujei a roupa bem agora que;BRA
Cássia Eller;6343;O SEGUNDO SOL;Quando o segundo sol chegar para realinhar as;BRA
Cassiane;5613;HINO DA VITÓRIA;Quem é o Homem que teve o poder;BRA
Catedral;6514;TCHAU;Me cansei dos teus desenganos não entendo;BRA
Cauby Peixoto;4468;CONCEIÇÃO;Conceição eu me lembro Muito bem;BRA
Cauby Peixoto;6618;MOLAMBO;Eu sei que vocês vão dizer;BRA
Cavalo de Pau;3763;PADECER NO PARAÍSO;Eu vivi todo esse tempo só pra você;BRA
Cazuza;4390;BRASIL;Não me convidaram pra esta festa pobre;BRA
Cazuza;3312;CODINOME BEIJA FLOR;Pra que mentir fingir que perdoou tentar;BRA
Cazuza;3095;EXAGERADO;Amor da minha vida;BRA
